model_name,accuracy,precision,recall,f1_score,roc_auc
Базовый XGBoost,0.7572746628814763,0.5288808664259927,0.7834224598930482,0.6314655172413793,0.8382197938463923
Оптимизированная логистическая регрессия,0.7381121362668559,0.5042735042735043,0.7887700534759359,0.6152241918665277,0.8421762380841665
Ансамблевая модель (не оценена),0.0,0.0,0.0,0.0,0.0
